0,0,894.77,190.65,346.23,183.35,-1,-1,-1,-1
0,2,292.44,176.91,39.34,20.55,-1,-1,-1,-1
1,0,880.11,190.17,360.89,183.83,-1,-1,-1,-1
1,2,285.84,175.73,40.75,21.05,-1,-1,-1,-1
2,0,866.58,189.73,374.42,184.27,-1,-1,-1,-1
2,2,278.93,176.46,42.25,21.57,-1,-1,-1,-1
3,0,854.07,189.33,386.93,184.67,-1,-1,-1,-1
3,2,271.67,177.23,43.85,22.13,-1,-1,-1,-1
4,0,842.45,188.95,398.55,185.05,-1,-1,-1,-1
4,2,264.03,178.03,45.55,22.71,-1,-1,-1,-1
5,0,831.64,188.60,409.36,185.40,-1,-1,-1,-1
5,2,255.97,178.88,47.37,23.32,-1,-1,-1,-1
6,0,821.33,187.34,419.67,186.66,-1,-1,-1,-1
6,2,246.35,179.71,49.34,23.96,-1,-1,-1,-1
6,3,276.43,179.03,43.53,20.34,-1,-1,-1,-1
7,0,811.76,186.75,418.85,187.25,-1,-1,-1,-1
7,2,236.18,180.58,51.46,24.63,-1,-1,-1,-1
7,3,268.12,180.81,45.20,20.88,-1,-1,-1,-1
8,0,802.88,189.89,387.27,184.11,-1,-1,-1,-1
8,2,225.90,179.26,53.69,25.33,-1,-1,-1,-1
8,3,259.51,179.65,46.97,21.42,-1,-1,-1,-1
9,0,794.48,185.45,359.84,188.55,-1,-1,-1,-1
9,2,215.02,177.86,56.10,26.08,-1,-1,-1,-1
9,3,250.44,178.42,48.87,22.00,-1,-1,-1,-1
10,0,788.21,185.67,343.00,184.04,-1,-1,-1,-1
10,2,203.47,176.37,58.70,26.87,-1,-1,-1,-1
10,3,240.86,177.12,50.90,22.61,-1,-1,-1,-1
11,0,782.25,183.44,316.02,170.04,-1,-1,-1,-1
11,2,192.89,177.63,61.45,27.70,-1,-1,-1,-1
11,3,230.73,175.74,53.08,23.26,-1,-1,-1,-1
12,0,778.10,183.28,298.50,161.85,-1,-1,-1,-1
12,2,181.64,178.97,64.42,28.59,-1,-1,-1,-1
12,3,222.16,177.23,55.29,23.91,-1,-1,-1,-1
13,0,774.18,182.39,282.69,153.95,-1,-1,-1,-1
13,2,169.66,180.39,67.64,29.54,-1,-1,-1,-1
13,3,213.10,178.80,57.65,24.59,-1,-1,-1,-1
14,0,770.45,180.77,268.36,146.29,-1,-1,-1,-1
14,2,156.85,181.79,71.13,30.67,-1,-1,-1,-1
14,3,203.50,180.47,60.18,25.32,-1,-1,-1,-1
15,0,767.00,184.76,255.38,142.53,-1,-1,-1,-1
15,2,143.15,183.25,74.93,31.92,-1,-1,-1,-1
15,3,193.32,182.09,62.90,26.24,-1,-1,-1,-1
16,0,762.17,184.02,241.88,135.98,-1,-1,-1,-1
16,2,127.90,183.34,79.23,33.07,-1,-1,-1,-1
