0,0,776.30,167.35,464.70,206.65,-1,-1,-1,-1
0,1,716.50,179.22,139.83,90.89,-1,-1,-1,-1
0,2,687.58,178.80,71.22,58.06,-1,-1,-1,-1
0,3,386.05,192.24,77.14,52.71,-1,-1,-1,-1
0,4,496.36,189.12,31.00,23.81,-1,-1,-1,-1
0,5,637.24,179.20,28.67,22.96,-1,-1,-1,-1
0,6,508.39,187.66,28.54,20.42,-1,-1,-1,-1
1,0,798.33,170.20,442.67,203.80,-1,-1,-1,-1
1,1,725.21,180.47,158.34,100.85,-1,-1,-1,-1
1,2,692.50,178.30,76.41,61.95,-1,-1,-1,-1
1,3,373.96,194.37,82.43,55.91,-1,-1,-1,-1
1,4,493.20,189.54,31.96,24.45,-1,-1,-1,-1
1,5,637.38,180.69,29.36,23.53,-1,-1,-1,-1
1,6,505.67,190.42,29.33,21.11,-1,-1,-1,-1
2,0,827.60,170.16,413.40,203.84,-1,-1,-1,-1
2,1,735.40,178.83,181.99,113.17,-1,-1,-1,-1
2,2,698.00,177.73,82.48,66.41,-1,-1,-1,-1
2,3,360.46,192.18,88.44,58.68,-1,-1,-1,-1
2,4,490.26,188.07,32.95,24.96,-1,-1,-1,-1
2,5,638.21,179.02,30.13,24.07,-1,-1,-1,-1
2,6,503.61,188.22,30.12,21.41,-1,-1,-1,-1
3,0,868.43,169.99,372.57,204.01,-1,-1,-1,-1
3,1,747.51,175.13,213.17,128.96,-1,-1,-1,-1
3,2,704.20,177.07,89.67,71.56,-1,-1,-1,-1
3,3,345.36,192.35,95.32,62.24,-1,-1,-1,-1
3,4,487.16,186.53,34.00,25.49,-1,-1,-1,-1
3,5,639.08,177.24,30.95,24.67,-1,-1,-1,-1
3,6,501.46,185.93,30.94,21.72,-1,-1,-1,-1
4,0,929.34,167.97,311.66,206.03,-1,-1,-1,-1
4,1,762.19,175.83,255.90,149.90,-1,-1,-1,-1
4,2,711.24,176.30,98.30,77.57,-1,-1,-1,-1
4,3,328.32,191.35,103.25,66.02,-1,-1,-1,-1
4,4,483.74,185.83,35.15,26.13,-1,-1,-1,-1
4,5,639.98,175.38,31.81,25.30,-1,-1,-1,-1
4,6,498.96,184.18,31.84,22.10,-1,-1,-1,-1
5,0,1046.65,171.03,194.35,202.97,-1,-1,-1,-1
5,1,780.30,176.52,317.46,178.95,-1,-1,-1,-1
5,2,719.32,175.38,108.82,84.69,-1,-1,-1,-1
